interaction_id,channel,transcript,expected_category,expected_queue,expected_priority,expected_escalation,synthetic,generation_seed
EVAL-0029,chat,"For context, this started earlier today. A staff member slipped and may have a sprain at the Harbor Office. Please escalate report SYN-00029. Please document the next action.",safety_incident,Safety & Escalations,high,true,true,20260813
EVAL-0218,email,"The driver marked order SYN-00218 complete, but nothing arrived.",delivery_issue,Delivery Support,medium,false,true,20260813
EVAL-0171,web,I was charged twice for invoice SYN-00171 and need a refund for the duplicate charge.,billing,Billing Operations,medium,false,true,20260813
EVAL-0084,voice,The courier scraped a parked car and left visible damage. Reference SYN-00084.,property_damage,Claims Operations,high,true,true,20260813
EVAL-0214,email,My late order SYN-00214 has not moved for three days.,delivery_issue,Delivery Support,medium,false,true,20260813
EVAL-0120,voice,Two-factor authentication rejects every code for user demo.user120@example.com; case SYN-00120.,account_access,Account Support,medium,false,true,20260813
EVAL-0289,chat,I have a general question and would like someone to contact me at demo.user289@example.com.,general_support,General Operations,low,false,true,20260813
EVAL-0286,email,"For context, this started earlier today. I need help understanding the policy connected with case SYN-00286. Please document the next action.",general_support,General Operations,low,false,true,20260813
EVAL-0042,email,Heavy smoke is spreading through the service corridor at West Annex; evacuation is underway for report SYN-00042.,safety_incident,Safety & Escalations,critical,true,true,20260813
EVAL-0186,email,"For context, this started earlier today. I was charged twice for invoice SYN-00186 and need a refund for the duplicate charge. Please document the next action.",billing,Billing Operations,medium,false,true,20260813
EVAL-0288,voice,Where can I find the current service hours for location Building C?,general_support,General Operations,low,false,true,20260813
EVAL-0212,voice,One missing item was not included in delivery SYN-00212.,delivery_issue,Delivery Support,medium,false,true,20260813
EVAL-0088,voice,My gate was broken during the stop. Order SYN-00088 is connected to the report.,property_damage,Claims Operations,high,true,true,20260813
EVAL-0093,chat,"For context, this started earlier today. My gate was broken during the stop. Order SYN-00093 is connected to the report. Please document the next action.",property_damage,Claims Operations,high,true,true,20260813
EVAL-0114,email,The sign-in page loops back to verification and never lets me continue. Contact demo.user114@example.com.,account_access,Account Support,medium,false,true,20260813
EVAL-0233,chat,"The driver marked order SYN-00233 complete, but nothing arrived.",delivery_issue,Delivery Support,medium,false,true,20260813
EVAL-0082,email,A service vehicle damaged the garage at location West Annex. Claim case SYN-00082.,property_damage,Claims Operations,high,true,true,20260813
EVAL-0271,web,I need help understanding the policy connected with case SYN-00271.,general_support,General Operations,low,false,true,20260813
EVAL-0140,voice,Two-factor authentication rejects every code for user demo.user140@example.com; case SYN-00140.,account_access,Account Support,medium,false,true,20260813
EVAL-0098,email,My gate was broken during the stop. Order SYN-00098 is connected to the report.,property_damage,Claims Operations,high,true,true,20260813
EVAL-0001,chat,"For context, this started earlier today. A caller reported a collision at the Riverside Center. One person is hurt and incident SYN-00001 needs review. Please document the next action.",safety_incident,Safety & Escalations,high,true,true,20260813
EVAL-0144,voice,The sign-in page loops back to verification and never lets me continue. Contact demo.user144@example.com.,account_access,Account Support,medium,false,true,20260813
EVAL-0275,web,Please confirm who owns follow-up for reference SYN-00275.,general_support,General Operations,low,false,true,20260813
EVAL-0157,chat,Payment for invoice SYN-00157 shows pending even though the bank approved it.,billing,Billing Operations,medium,false,true,20260813
EVAL-0272,voice,"For context, this started earlier today. Please update the contact name on ticket SYN-00272. This is not urgent. Please document the next action.",general_support,General Operations,low,false,true,20260813
EVAL-0081,chat,A vehicle hit my fence and caused property damage. Case SYN-00081; nobody is injured.,property_damage,Claims Operations,high,true,true,20260813
EVAL-0078,email,My gate was broken during the stop. Order SYN-00078 is connected to the report.,property_damage,Claims Operations,high,true,true,20260813
EVAL-0129,chat,"For context, this started earlier today. The sign-in page loops back to verification and never lets me continue. Contact demo.user129@example.com. Please document the next action.",account_access,Account Support,medium,false,true,20260813
EVAL-0050,email,"For context, this started earlier today. The caller says the area is unsafe after a threat near location North Campus. Ticket SYN-00050 was opened. Please document the next action.",safety_incident,Safety & Escalations,high,true,true,20260813
EVAL-0108,voice,"For context, this started earlier today. I cannot login after changing phones. Please restore access for demo.user108@example.com. Please document the next action.",account_access,Account Support,medium,false,true,20260813
EVAL-0149,chat,The sign-in page loops back to verification and never lets me continue. Contact demo.user149@example.com.,account_access,Account Support,medium,false,true,20260813
EVAL-0040,voice,A weapon was reported near facility North Campus. This is an emergency linked to case SYN-00040.,safety_incident,Safety & Escalations,critical,true,true,20260813
EVAL-0059,web,The courier scraped a parked car and left visible damage. Reference SYN-00059.,property_damage,Claims Operations,high,true,true,20260813
EVAL-0046,email,A weapon was reported near facility Riverside Center. This is an emergency linked to case SYN-00046.,safety_incident,Safety & Escalations,critical,true,true,20260813
EVAL-0252,voice,Please update the contact name on ticket SYN-00252. This is not urgent.,general_support,General Operations,low,false,true,20260813
EVAL-0148,voice,I cannot login after changing phones. Please restore access for demo.user148@example.com.,account_access,Account Support,medium,false,true,20260813
EVAL-0236,voice,"For context, this started earlier today. My package for order SYN-00236 was delivered to the wrong address. Please document the next action.",delivery_issue,Delivery Support,medium,false,true,20260813
EVAL-0002,email,The caller says the area is unsafe after a threat near location West Annex. Ticket SYN-00002 was opened.,safety_incident,Safety & Escalations,high,true,true,20260813
EVAL-0065,chat,"For context, this started earlier today. A mailbox was knocked over during delivery for order SYN-00065. No one was hurt. Please document the next action.",property_damage,Claims Operations,high,true,true,20260813
EVAL-0083,web,My gate was broken during the stop. Order SYN-00083 is connected to the report.,property_damage,Claims Operations,high,true,true,20260813
EVAL-0039,web,"There is a fire at location Harbor Office, and people may be in immediate danger. Incident SYN-00039.",safety_incident,Safety & Escalations,critical,true,true,20260813
EVAL-0167,web,Payment for invoice SYN-00167 shows pending even though the bank approved it.,billing,Billing Operations,medium,false,true,20260813
EVAL-0260,voice,Please confirm who owns follow-up for reference SYN-00260.,general_support,General Operations,low,false,true,20260813
EVAL-0197,chat,Payment for invoice SYN-00197 shows pending even though the bank approved it.,billing,Billing Operations,medium,false,true,20260813
EVAL-0250,email,"For context, this started earlier today. The parcel for order SYN-00250 went to a neighbor and the photo confirms it. Please document the next action.",delivery_issue,Delivery Support,medium,false,true,20260813
EVAL-0106,email,I am locked out of my account and the verification code is not arriving at demo.user106@example.com.,account_access,Account Support,medium,false,true,20260813
EVAL-0069,chat,The courier scraped a parked car and left visible damage. Reference SYN-00069.,property_damage,Claims Operations,high,true,true,20260813
EVAL-0178,email,Please explain the billing terms on invoice SYN-00178. Contact me at demo.user178@example.com.,billing,Billing Operations,medium,false,true,20260813
EVAL-0238,email,"The driver marked order SYN-00238 complete, but nothing arrived.",delivery_issue,Delivery Support,medium,false,true,20260813
EVAL-0031,web,A caller reported a collision at the Riverside Center. One person is hurt and incident SYN-00031 needs review.,safety_incident,Safety & Escalations,high,true,true,20260813
EVAL-0156,voice,I was charged twice for invoice SYN-00156 and need a refund for the duplicate charge.,billing,Billing Operations,medium,false,true,20260813
EVAL-0222,email,"For context, this started earlier today. One missing item was not included in delivery SYN-00222. Please document the next action.",delivery_issue,Delivery Support,medium,false,true,20260813
EVAL-0292,voice,Please update the contact name on ticket SYN-00292. This is not urgent.,general_support,General Operations,low,false,true,20260813
EVAL-0141,chat,I am locked out of my account and the verification code is not arriving at demo.user141@example.com.,account_access,Account Support,medium,false,true,20260813
EVAL-0052,voice,A service vehicle damaged the garage at location West Annex. Claim case SYN-00052.,property_damage,Claims Operations,high,true,true,20260813
EVAL-0299,web,I have a general question and would like someone to contact me at demo.user299@example.com.,general_support,General Operations,low,false,true,20260813
EVAL-0019,web,A caller reported a collision at the Harbor Office. One person is hurt and incident SYN-00019 needs review.,safety_incident,Safety & Escalations,high,true,true,20260813
EVAL-0235,web,The parcel for order SYN-00235 went to a neighbor and the photo confirms it.,delivery_issue,Delivery Support,medium,false,true,20260813
EVAL-0283,web,Where can I find the current service hours for location Building C?,general_support,General Operations,low,false,true,20260813
EVAL-0014,email,The caller says the area is unsafe after a threat near location Harbor Office. Ticket SYN-00014 was opened.,safety_incident,Safety & Escalations,high,true,true,20260813
EVAL-0162,email,Payment for invoice SYN-00162 shows pending even though the bank approved it.,billing,Billing Operations,medium,false,true,20260813
EVAL-0086,email,"For context, this started earlier today. A vehicle hit my fence and caused property damage. Case SYN-00086; nobody is injured. Please document the next action.",property_damage,Claims Operations,high,true,true,20260813
EVAL-0290,email,Please confirm who owns follow-up for reference SYN-00290.,general_support,General Operations,low,false,true,20260813
EVAL-0175,web,A subscription renewal posted unexpectedly under reference SYN-00175.,billing,Billing Operations,medium,false,true,20260813
EVAL-0261,chat,I need help understanding the policy connected with case SYN-00261.,general_support,General Operations,low,false,true,20260813
EVAL-0296,voice,I need help understanding the policy connected with case SYN-00296.,general_support,General Operations,low,false,true,20260813
EVAL-0034,email,A weapon was reported near facility Harbor Office. This is an emergency linked to case SYN-00034.,safety_incident,Safety & Escalations,critical,true,true,20260813
EVAL-0142,email,My password reset link fails every time. Account email: demo.user142@example.com. Ticket SYN-00142.,account_access,Account Support,medium,false,true,20260813
EVAL-0263,web,Where can I find the current service hours for location Building C?,general_support,General Operations,low,false,true,20260813
EVAL-0191,web,I was charged twice for invoice SYN-00191 and need a refund for the duplicate charge.,billing,Billing Operations,medium,false,true,20260813
EVAL-0048,voice,Heavy smoke is spreading through the service corridor at Building C; evacuation is underway for report SYN-00048.,safety_incident,Safety & Escalations,critical,true,true,20260813
EVAL-0135,web,Two-factor authentication rejects every code for user demo.user135@example.com; case SYN-00135.,account_access,Account Support,medium,false,true,20260813
EVAL-0182,email,Payment for invoice SYN-00182 shows pending even though the bank approved it.,billing,Billing Operations,medium,false,true,20260813
EVAL-0008,voice,"For context, this started earlier today. The caller says the area is unsafe after a threat near location Building C. Ticket SYN-00008 was opened. Please document the next action.",safety_incident,Safety & Escalations,high,true,true,20260813
EVAL-0064,voice,The courier scraped a parked car and left visible damage. Reference SYN-00064.,property_damage,Claims Operations,high,true,true,20260813
EVAL-0005,chat,A staff member slipped and may have a sprain at the North Campus. Please escalate report SYN-00005.,safety_incident,Safety & Escalations,high,true,true,20260813
EVAL-0241,chat,My package for order SYN-00241 was delivered to the wrong address.,delivery_issue,Delivery Support,medium,false,true,20260813
EVAL-0176,voice,I was charged twice for invoice SYN-00176 and need a refund for the duplicate charge.,billing,Billing Operations,medium,false,true,20260813
EVAL-0291,web,I need help understanding the policy connected with case SYN-00291.,general_support,General Operations,low,false,true,20260813
EVAL-0161,chat,I was charged twice for invoice SYN-00161 and need a refund for the duplicate charge.,billing,Billing Operations,medium,false,true,20260813
EVAL-0268,voice,Where can I find the current service hours for location Building C?,general_support,General Operations,low,false,true,20260813
EVAL-0118,email,I cannot login after changing phones. Please restore access for demo.user118@example.com.,account_access,Account Support,medium,false,true,20260813
EVAL-0150,email,"For context, this started earlier today. Two-factor authentication rejects every code for user demo.user150@example.com; case SYN-00150. Please document the next action.",account_access,Account Support,medium,false,true,20260813
EVAL-0013,chat,A caller reported a collision at the Building C. One person is hurt and incident SYN-00013 needs review.,safety_incident,Safety & Escalations,high,true,true,20260813
EVAL-0068,voice,My gate was broken during the stop. Order SYN-00068 is connected to the report.,property_damage,Claims Operations,high,true,true,20260813
EVAL-0210,email,The parcel for order SYN-00210 went to a neighbor and the photo confirms it.,delivery_issue,Delivery Support,medium,false,true,20260813
EVAL-0023,web,A staff member slipped and may have a sprain at the Building C. Please escalate report SYN-00023.,safety_incident,Safety & Escalations,high,true,true,20260813
EVAL-0104,voice,The sign-in page loops back to verification and never lets me continue. Contact demo.user104@example.com.,account_access,Account Support,medium,false,true,20260813
EVAL-0207,web,One missing item was not included in delivery SYN-00207.,delivery_issue,Delivery Support,medium,false,true,20260813
EVAL-0122,email,"For context, this started earlier today. My password reset link fails every time. Account email: demo.user122@example.com. Ticket SYN-00122. Please document the next action.",account_access,Account Support,medium,false,true,20260813
EVAL-0006,email,Heavy smoke is spreading through the service corridor at Riverside Center; evacuation is underway for report SYN-00006.,safety_incident,Safety & Escalations,critical,true,true,20260813
EVAL-0018,email,Heavy smoke is spreading through the service corridor at Building C; evacuation is underway for report SYN-00018.,safety_incident,Safety & Escalations,critical,true,true,20260813
EVAL-0049,chat,A caller reported a collision at the Harbor Office. One person is hurt and incident SYN-00049 needs review.,safety_incident,Safety & Escalations,high,true,true,20260813
EVAL-0170,email,A subscription renewal posted unexpectedly under reference SYN-00170.,billing,Billing Operations,medium,false,true,20260813
EVAL-0211,web,My package for order SYN-00211 was delivered to the wrong address.,delivery_issue,Delivery Support,medium,false,true,20260813
EVAL-0116,voice,I am locked out of my account and the verification code is not arriving at demo.user116@example.com.,account_access,Account Support,medium,false,true,20260813
EVAL-0055,web,A mailbox was knocked over during delivery for order SYN-00055. No one was hurt.,property_damage,Claims Operations,high,true,true,20260813
EVAL-0240,voice,The parcel for order SYN-00240 went to a neighbor and the photo confirms it.,delivery_issue,Delivery Support,medium,false,true,20260813
EVAL-0015,web,"For context, this started earlier today. There is a fire at location North Campus, and people may be in immediate danger. Incident SYN-00015. Please document the next action.",safety_incident,Safety & Escalations,critical,true,true,20260813
EVAL-0172,voice,"For context, this started earlier today. Payment for invoice SYN-00172 shows pending even though the bank approved it. Please document the next action.",billing,Billing Operations,medium,false,true,20260813
EVAL-0009,chat,"There is a fire at location Harbor Office, and people may be in immediate danger. Incident SYN-00009.",safety_incident,Safety & Escalations,critical,true,true,20260813
EVAL-0298,email,Where can I find the current service hours for location Building C?,general_support,General Operations,low,false,true,20260813
EVAL-0017,chat,A staff member slipped and may have a sprain at the West Annex. Please escalate report SYN-00017.,safety_incident,Safety & Escalations,high,true,true,20260813
EVAL-0203,web,"The driver marked order SYN-00203 complete, but nothing arrived.",delivery_issue,Delivery Support,medium,false,true,20260813
EVAL-0112,voice,My password reset link fails every time. Account email: demo.user112@example.com. Ticket SYN-00112.,account_access,Account Support,medium,false,true,20260813
EVAL-0007,web,A caller reported a collision at the West Annex. One person is hurt and incident SYN-00007 needs review.,safety_incident,Safety & Escalations,high,true,true,20260813
EVAL-0231,web,My package for order SYN-00231 was delivered to the wrong address.,delivery_issue,Delivery Support,medium,false,true,20260813
EVAL-0246,email,My package for order SYN-00246 was delivered to the wrong address.,delivery_issue,Delivery Support,medium,false,true,20260813
EVAL-0022,email,"For context, this started earlier today. A weapon was reported near facility West Annex. This is an emergency linked to case SYN-00022. Please document the next action.",safety_incident,Safety & Escalations,critical,true,true,20260813
EVAL-0127,web,My password reset link fails every time. Account email: demo.user127@example.com. Ticket SYN-00127.,account_access,Account Support,medium,false,true,20260813
EVAL-0136,voice,"For context, this started earlier today. I am locked out of my account and the verification code is not arriving at demo.user136@example.com. Please document the next action.",account_access,Account Support,medium,false,true,20260813
EVAL-0206,email,My package for order SYN-00206 was delivered to the wrong address.,delivery_issue,Delivery Support,medium,false,true,20260813
EVAL-0137,chat,My password reset link fails every time. Account email: demo.user137@example.com. Ticket SYN-00137.,account_access,Account Support,medium,false,true,20260813
EVAL-0256,voice,I need help understanding the policy connected with case SYN-00256.,general_support,General Operations,low,false,true,20260813
EVAL-0101,chat,"For context, this started earlier today. I am locked out of my account and the verification code is not arriving at demo.user101@example.com. Please document the next action.",account_access,Account Support,medium,false,true,20260813
EVAL-0163,web,Please explain the billing terms on invoice SYN-00163. Contact me at demo.user163@example.com.,billing,Billing Operations,medium,false,true,20260813
EVAL-0041,chat,A staff member slipped and may have a sprain at the Riverside Center. Please escalate report SYN-00041.,safety_incident,Safety & Escalations,high,true,true,20260813
EVAL-0133,chat,I cannot login after changing phones. Please restore access for demo.user133@example.com.,account_access,Account Support,medium,false,true,20260813
EVAL-0200,voice,"For context, this started earlier today. A subscription renewal posted unexpectedly under reference SYN-00200. Please document the next action.",billing,Billing Operations,medium,false,true,20260813
EVAL-0123,web,I cannot login after changing phones. Please restore access for demo.user123@example.com.,account_access,Account Support,medium,false,true,20260813
EVAL-0169,chat,The amount on statement SYN-00169 is incorrect and I need an adjustment.,billing,Billing Operations,medium,false,true,20260813
EVAL-0139,web,The sign-in page loops back to verification and never lets me continue. Contact demo.user139@example.com.,account_access,Account Support,medium,false,true,20260813
EVAL-0091,web,A vehicle hit my fence and caused property damage. Case SYN-00091; nobody is injured.,property_damage,Claims Operations,high,true,true,20260813
EVAL-0063,web,My gate was broken during the stop. Order SYN-00063 is connected to the report.,property_damage,Claims Operations,high,true,true,20260813
EVAL-0270,email,Please confirm who owns follow-up for reference SYN-00270.,general_support,General Operations,low,false,true,20260813
EVAL-0066,email,A vehicle hit my fence and caused property damage. Case SYN-00066; nobody is injured.,property_damage,Claims Operations,high,true,true,20260813
EVAL-0173,chat,Please explain the billing terms on invoice SYN-00173. Contact me at demo.user173@example.com.,billing,Billing Operations,medium,false,true,20260813
EVAL-0153,chat,Please explain the billing terms on invoice SYN-00153. Contact me at demo.user153@example.com.,billing,Billing Operations,medium,false,true,20260813
EVAL-0138,email,I cannot login after changing phones. Please restore access for demo.user138@example.com.,account_access,Account Support,medium,false,true,20260813
